id,name,unit_cost,remaining_qty,is_active
1460,CUTTING BOARD ,1.92,15,TRUE
1462,CUTTING BOARD WARPED ,1.92,15,TRUE
1464,DESICATED COCONUT,1.92,15,TRUE
1466,DESSERT SPOONS,1.92,15,TRUE
1468,DIGITAL TIMER,1.92,15,TRUE
1470,DOME,1.92,15,TRUE
1472,DOME MOULD ,1.92,15,TRUE
1474,DOME MOULD 4S,1.92,15,TRUE
1476,DOME SMALL,1.92,15,TRUE
1478,DONKAR ,1.92,15,TRUE
1480,DOUBLE DOOR FRIDGE,1.92,15,TRUE
1482,DOUGH ATTACHMENTS ,1.92,15,TRUE
1484,DOUGH MIXER,1.92,15,TRUE
1486,DOUGH PLASTICS,1.92,15,TRUE
1488,DRIED YEAST ,1.92,15,TRUE
1490,EGGS,1.92,15,TRUE
1492,ELECTRIC BLUE ,1.92,15,TRUE
1494,EUROFOURS OVEN,1.92,15,TRUE
1496,FEATHER DUSTER,1.92,15,TRUE
1498,FINANCIER SILICON ,1.92,15,TRUE
1500,FLAT BEATER ATTACHMENYT ,1.92,15,TRUE
1502,FLAVOURS SMALL,1.92,15,TRUE
1504,FLOWERS ,1.92,15,TRUE
1506,FLY TRAP ,1.92,15,TRUE
1508,FONDANT ,1.92,15,TRUE
1510,FOURNIL CRAVTEE,1.92,15,TRUE
1512,FRAISIER RINGS ,1.92,15,TRUE
1514,FRESH CREAM ,1.92,15,TRUE
1516,FRYING PANS ,1.92,15,TRUE
1518,GAS BUTANE,1.92,15,TRUE
1520,GAS STOVE 2 PLATE ,1.92,15,TRUE
1522,,1.92,15,TRUE
1524,GAS TANK 3 KG ,1.92,15,TRUE
1526,GAS TANK 9 KG ,1.92,15,TRUE
1528,GELATIN LEAVES,1.92,15,TRUE
1530,GELATIN POWDER,1.92,15,TRUE
1532,GELATINE,1.92,15,TRUE
1534,GLITTER BALLS,1.92,15,TRUE
1536,GLOBAL LUGS,1.92,15,TRUE
1538,GLUCOSE,1.92,15,TRUE
1540,GOLD BALLS,1.92,15,TRUE
1542,GOLD DUST ,1.92,15,TRUE
1544,GOLD LEAF,1.92,15,TRUE
1546,GP RIM,1.92,15,TRUE
1548,GREY TILES,1.92,15,TRUE
1550,GRILL TRAYS ,1.92,15,TRUE
1552,GUARGUM ,1.92,15,TRUE
1554,GUN FOR HOSEPIPE ,1.92,15,TRUE
1556,HAND ATTACHMENMENTS ,1.92,15,TRUE
1558,HAND MIXER NOT WORKING ,1.92,15,TRUE
1560,HAND MIXER WORKING ,1.92,15,TRUE
1562,HAND MIXERS,1.92,15,TRUE
1564,HANDMIXER,1.92,15,TRUE
1566,HAPPY BIRTHDAY TOPPER,1.92,15,TRUE
1568,HAZELNUT FLAVOUR,1.92,15,TRUE
1570,HAZELNUT WITH SKIN,1.92,15,TRUE
1572,HAZELNUTS,1.92,15,TRUE
1574,HEART MOULD ,1.92,15,TRUE
1576,HEART SMALL MOULD,1.92,15,TRUE
1578,HOSE PIPE ,1.92,15,TRUE
1580,IBZ,1.92,15,TRUE
1582,ICING SUGAR,1.92,15,TRUE
1586,INOX 180 RINGS,1.92,15,TRUE
1588,ISPAGHOL,1.92,15,TRUE
1590,KNIFE,1.92,15,TRUE
1592,LAPAGE ,1.92,15,TRUE
1594,LEMON CURD ,1.92,15,TRUE
1596,LEMON FLAVOUR,1.92,15,TRUE
1598,LEMON JUICE,1.92,15,TRUE
1600,LEMONS ,1.92,15,TRUE
1602,LIN SEEDS,1.92,15,TRUE
1604,LOAF TIN - 27 CM ,1.92,15,TRUE
1606,LOAF TIN  35 CM ,1.92,15,TRUE
1608,LOAF TIN 30.5 CM ,1.92,15,TRUE
1610,LOAF TIN 33CM ,1.92,15,TRUE
1612,LOAF TIN LONG 24 CM ,1.92,15,TRUE
1614,MADELEIN MIX,1.92,15,TRUE
1616,MADELIN METAL MOULDS,1.92,15,TRUE
1618,MANGO FLAVOUR,1.92,15,TRUE
1620,MATS,1.92,15,TRUE
1622,MEASURING JUG,1.92,15,TRUE
1624,MEASURING SPOON SET BY 5,1.92,15,TRUE
1626,MEASURING SPOONS ,1.92,15,TRUE
1628,MED CROISSANT CUTTER,1.92,15,TRUE
1630,METAL SCRAPER ,1.92,15,TRUE
1632,METAL TRAYS ,1.92,15,TRUE
1634,MICRO PLAINNER,1.92,15,TRUE
1636,MILK B,1.92,15,TRUE
1638,MINI TART,1.92,15,TRUE
1640,MIX APPLE,1.92,15,TRUE
1642,MIX LEMON ,1.92,15,TRUE
1644,MIXED BERRY FLAVOUR,1.92,15,TRUE
1646,MIXER BOWLS ,1.92,15,TRUE
1648,MIXING BOWL BIG ,1.92,15,TRUE
1650,MUFFIN BAKING TRAY ,1.92,15,TRUE
1652,NOZZLE SPECIAL ,1.92,15,TRUE
1654,NOZZLES,1.92,15,TRUE
1656,NOZZLES ,1.92,15,TRUE
1658,NOZZLES ALL,1.92,15,TRUE
1660,OLD FASHIONED BROWN SUGAR,1.92,15,TRUE
1662,OLD TRAYS ,1.92,15,TRUE
1664,OLIVE OIL,1.92,15,TRUE
1666,OVAL RED CUTTER,1.92,15,TRUE
1668,PALETTE KNIFE ,1.92,15,TRUE
1670,PARING KNIFE ,1.92,15,TRUE
1672,PASSIN FRUIT FLAVOUR,1.92,15,TRUE
1674,PASTRY BRUSH ,1.92,15,TRUE
1676,PASTRY BRUSH WHITE ,1.92,15,TRUE
1678,PASTRY BRUSHES ,1.92,15,TRUE
1680,PASTRY FILLING,1.92,15,TRUE
1682,PASTRY SHEETER,1.92,15,TRUE
1684,PATES DE NATES MOULD ,1.92,15,TRUE
1686,PATES DE NATES MOULDS ,1.92,15,TRUE
