id,name,unit_cost,remaining_qty,is_active,daily_stock_take
1422,CROQUANTES PANACHEESE,1.92,15.00,true,false
1738,CROQUMBOUCHE,1.92,15.00,true,false
1932,CROQUMBOUCHE,1.92,15.00,true,false
2248,CROUGHNUTS,1.92,15.00,true,false
1715,CROUGHNUTS,1.92,15.00,true,false
1423,CRYSTAL SUGAR,1.92,15.00,true,false
2005,CUCUMBERS,1.92,15.00,true,false
1424,CUP CAKE BY 6,1.92,15.00,true,false
1425,CUTTER SET 11,1.92,15.00,true,false
1426,CUTTER SET 8,1.92,15.00,true,false
1427,CUTTING BOARD,1.92,15.00,true,false
1428,CUTTING BOARD WARPED,1.92,15.00,true,false
2007,CUTTING BOARDS,1.92,15.00,true,false
2239,DANISH PASTRIES -APRICOT,1.92,15.00,true,false
1706,DANISH PASTRIES -APRICOT,1.92,15.00,true,false
2009,DELI HURRICANE GLASSES,1.92,15.00,true,false
1429,DESICATED COCONUT,1.92,15.00,true,false
1430,DESSERT SPOONS,1.92,15.00,true,false
1431,DIGITAL TIMER,1.92,15.00,true,false
2011,DINNER PLATES,1.92,15.00,true,false
2013,DOILIES,1.92,15.00,true,false
1432,DOME,1.92,15.00,true,false
1433,DOME MOULD,1.92,15.00,true,false
1434,DOME MOULD 4S,1.92,15.00,true,false
1435,DOME SMALL,1.92,15.00,true,false
1436,DONKAR,1.92,15.00,true,false
1437,DOUBLE DOOR FRIDGE,1.92,15.00,true,false
1438,DOUGH ATTACHMENTS,1.92,15.00,true,false
1439,DOUGH MIXER,1.92,15.00,true,false
1440,DOUGH PLASTICS,1.92,15.00,true,false
1936,DOUGHNUT-  MINI,1.92,15.00,true,false
1739,DOUGHNUT-  MINI,1.92,15.00,true,false
1940,DOUGHNUT MED,1.92,15.00,true,false
1740,DOUGHNUT MED,1.92,15.00,true,false
1942,DOUGHNUT NORMAL,1.92,15.00,true,false
1741,DOUGHNUT NORMAL,1.92,15.00,true,false
1441,DRIED YEAST,1.92,15.00,true,false
1960,EASTER CAKE,1.92,15.00,true,false
1749,EASTER CAKE,1.92,15.00,true,false
1962,ÉCLAIR SHELL -5 CM LENGTH 1 CM WIDTH,1.92,15.00,true,false
1750,ÉCLAIR SHELL -5 CM LENGTH 1 CM WIDTH,1.92,15.00,true,false
2015,EGG LIFTER,1.92,15.00,true,false
2017,EGGS,1.92,15.00,true,false
1442,EGGS,1.92,15.00,true,false
1443,ELECTRIC BLUE,1.92,15.00,true,false
1928,EMMANTAL CHEESE PIES,1.92,15.00,true,false
1736,EMMANTAL CHEESE PIES,1.92,15.00,true,false
2019,EMPTIES NO BOTTLE,1.92,15.00,true,false
1444,EUROFOURS OVEN,1.92,15.00,true,false
2021,FANTA,1.92,15.00,true,false
1445,FEATHER DUSTER,1.92,15.00,true,false
2023,FILLET STEAK,1.92,15.00,true,false
1446,FINANCIER SILICON,1.92,15.00,true,false
2240,FINANCIERS,1.92,15.00,true,false
1707,FINANCIERS,1.92,15.00,true,false
1763,FLAN - 8 PEOPLE,1.92,15.00,true,false
1988,FLAN - 8 PEOPLE,1.92,15.00,true,false
1447,FLAT BEATER ATTACHMENYT,1.92,15.00,true,false
1448,FLAVOURS SMALL,1.92,15.00,true,false
1449,FLOWERS,1.92,15.00,true,false
1450,FLY TRAP,1.92,15.00,true,false
1451,FONDANT,1.92,15.00,true,false
2025,FORKS CAKE,1.92,15.00,true,false
1452,FOURNIL CRAVTEE,1.92,15.00,true,false
1968,FRAISIER,1.92,15.00,true,false
1753,FRAISIER,1.92,15.00,true,false
1970,FRAISIER - 10 PEOPLE,1.92,15.00,true,false
1754,FRAISIER - 10 PEOPLE,1.92,15.00,true,false
1453,FRAISIER RINGS,1.92,15.00,true,false
1454,FRESH CREAM,1.92,15.00,true,false
2027,FROTHONG JUGS,1.92,15.00,true,false
1455,FRYING PANS,1.92,15.00,true,false
1456,GAS BUTANE,1.92,15.00,true,false
1457,GAS STOVE 2 PLATE,1.92,15.00,true,false
1458,GAS TANK 3 KG,1.92,15.00,true,false
1459,GAS TANK 9 KG,1.92,15.00,true,false
1460,GELATIN LEAVES,1.92,15.00,true,false
1461,GELATIN POWDER,1.92,15.00,true,false
1462,GELATINE,1.92,15.00,true,false
2029,GINGER,1.92,15.00,true,false
1463,GLITTER BALLS,1.92,15.00,true,false
1464,GLOBAL LUGS,1.92,15.00,true,false
2031,GLOVES BLACK,1.92,15.00,true,false
1465,GLUCOSE,1.92,15.00,true,false
1783,GLUTEN FREE MINI CAKE,1.92,15.00,true,false
2028,GLUTEN FREE MINI CAKE,1.92,15.00,true,false
1466,GOLD BALLS,1.92,15.00,true,false
1467,GOLD DUST,1.92,15.00,true,false
1468,GOLD LEAF,1.92,15.00,true,false
1687,GOOSEBERRIES,1.92,15.00,true,false
1469,GP RIM,1.92,15.00,true,false
2033,GP2,1.92,15.00,true,false
2035,GRATER,1.92,15.00,true,false
2037,GREEN CHILLIES,1.92,15.00,true,false
2038,GREEN PEPPERS,1.92,15.00,true,false
1470,GREY TILES,1.92,15.00,true,false
1471,GRILL TRAYS,1.92,15.00,true,false
2039,GRILLER,1.92,15.00,true,false
2040,GRINDER,1.92,15.00,true,false
1472,GUARGUM,1.92,15.00,true,false
1473,GUN FOR HOSEPIPE,1.92,15.00,true,false
2041,HAKE,1.92,15.00,true,false
2042,HALF CHICKENS,1.92,15.00,true,false
1474,HAND ATTACHMENMENTS,1.92,15.00,true,false
1475,HAND MIXER NOT WORKING,1.92,15.00,true,false
1476,HAND MIXER WORKING,1.92,15.00,true,false
1477,HAND MIXERS,1.92,15.00,true,false
1478,HANDMIXER,1.92,15.00,true,false
1479,HAPPY BIRTHDAY TOPPER,1.92,15.00,true,false
1480,HAZELNUT FLAVOUR,1.92,15.00,true,false
1481,HAZELNUT WITH SKIN,1.92,15.00,true,false
1482,HAZELNUTS,1.92,15.00,true,false
1483,HEART MOULD,1.92,15.00,true,false
1484,HEART SMALL MOULD,1.92,15.00,true,false
2043,HICKORY BBQ SAUCE,1.92,15.00,true,false
2044,HONEY,1.92,15.00,true,false
1485,HOSE PIPE,1.92,15.00,true,false
2045,HOT CHOCOLATE,1.92,15.00,true,false
2245,HOT CROSS BUNS,1.92,15.00,true,false
1712,HOT CROSS BUNS,1.92,15.00,true,false
2046,HOT PASS,1.92,15.00,true,false
1486,IBZ,1.92,15.00,true,false
2047,ICECREAM SCOOP,1.92,15.00,true,false
1487,ICING SUGAR,1.92,15.00,true,false
2048,ICING SUGAR,1.92,15.00,true,false
1488,INOX 180 RINGS,1.92,15.00,true,false
1489,ISPAGHOL,1.92,15.00,true,false
2049,JAM PORTIONS,1.92,15.00,true,false
2050,JUICE CUPS,1.92,15.00,true,false
2051,JUICE LIDS,1.92,15.00,true,false
2052,KETTLE 1 LT,1.92,15.00,true,false
1717,KITCHEN BAGUETTE,1.92,15.00,true,false
2250,KITCHEN BAGUETTE,1.92,15.00,true,false
1688,KIWI,1.92,15.00,true,false
1490,KNIFE,1.92,15.00,true,false
2053,KNIVES,1.92,15.00,true,false
2242,KUIGN MANN,1.92,15.00,true,false
1709,KUIGN MANN,1.92,15.00,true,false
1491,LAPAGE,1.92,15.00,true,false
2054,LARGE BOXES,1.92,15.00,true,false
1755,LARGE GALETTE,1.92,15.00,true,false
1972,LARGE GALETTE,1.92,15.00,true,false
1980,LARGE LEMON MERINGUE,1.92,15.00,true,false
1759,LARGE LEMON MERINGUE,1.92,15.00,true,false
1986,LARGE LEMON MERINGUE - 10 PEOPLE,1.92,15.00,true,false
1762,LARGE LEMON MERINGUE - 10 PEOPLE,1.92,15.00,true,false
2055,LARGE PLASTIC CONTAINERS,1.92,15.00,true,false
2056,LASAGNA,1.92,15.00,true,false
2057,LATTE GLASSES,1.92,15.00,true,false
2058,LATTE SPOONS,1.92,15.00,true,false
1765,LEMON ALMOND TARTS,1.92,15.00,true,false
1992,LEMON ALMOND TARTS,1.92,15.00,true,false
1760,LEMON CHEESECAKE BAKED,1.92,15.00,true,false
1982,LEMON CHEESECAKE BAKED,1.92,15.00,true,false
1492,LEMON CURD,1.92,15.00,true,false
1493,LEMON FLAVOUR,1.92,15.00,true,false
1494,LEMON JUICE,1.92,15.00,true,false
1761,LEMON MERINGUE,1.92,15.00,true,false
1984,LEMON MERINGUE,1.92,15.00,true,false
1495,LEMONS,1.92,15.00,true,false
2059,LENTILS,1.92,15.00,true,false
2060,LETTUCE,1.92,15.00,true,false
2061,LIFT AWAY,1.92,15.00,true,false
1496,LIN SEEDS,1.92,15.00,true,false
1497,LOAF TIN - 27 CM,1.92,15.00,true,false
1498,LOAF TIN  35 CM,1.92,15.00,true,false
1499,LOAF TIN 30.5 CM,1.92,15.00,true,false
1500,LOAF TIN 33CM,1.92,15.00,true,false
1501,LOAF TIN LONG 24 CM,1.92,15.00,true,false
1718,LONG BAGUETTES,1.92,15.00,true,false
2251,LONG BAGUETTES,1.92,15.00,true,false
2062,LUNCH BOXES BIG,1.92,15.00,true,false
2063,LUNCH BOXES SMALL,1.92,15.00,true,false
2064,MACAROON STANDS,1.92,15.00,true,false
2065,MACAROON WOODEN BOXES,1.92,15.00,true,false
2004,MACAROONS- BROWN,1.92,15.00,true,false
1771,MACAROONS- BROWN,1.92,15.00,true,false
