id,name,category,selling_price,remaining_qty,tax_rate,is_active
1349,MINI LEMON MERINGUE ,MANUFACTURED ITEMS,4.55,15,0,TRUE
1298,LEMON ALMOND TARTS ,MANUFACTURED ITEMS,5,15,0,TRUE
1283,ST HONOURE SMALL ,MANUFACTURED ITEMS,5,15,15.5,TRUE
1379,ST HONOURE - 8 PEOPLE,MANUFACTURED ITEMS,60,15,0,TRUE
1259,MACAROONS- GREEN,MANUFACTURED ITEMS,1,15,15.5,TRUE
1258,MACAROONS-PINK,MANUFACTURED ITEMS,1,15,15.5,TRUE
1243,MACAROONS- PURPLE ,MANUFACTURED ITEMS,1,15,15.5,TRUE
1282,MACAROONS- BROWN ,MANUFACTURED ITEMS,1,15,15.5,TRUE
1365,MACAROONS- WHITE ,MANUFACTURED ITEMS,1,15,0,TRUE
1329,MACAROONS - YELLOW ,MANUFACTURED ITEMS,1,15,0,TRUE
1385,VOL AU VENT - 5 CM width,MANUFACTURED ITEMS,0.15,15,0,TRUE
1340,VOL AU VENT ,MANUFACTURED ITEMS,0.02,15,0,TRUE
1203,MADELEINES,MANUFACTURED ITEMS,1,15,15.5,TRUE
1276,BIG CHOC CHIP ,MANUFACTURED ITEMS,2,15,15.5,TRUE
1214,PEANUT BUTTER COOKIES ,MANUFACTURED ITEMS,2,15,15.5,TRUE
1358,SMALL COOKIES ,MANUFACTURED ITEMS,0.5,15,0,TRUE
1206,CHOCOLATE TARTS,MANUFACTURED ITEMS,5,15,15.5,TRUE
1281,CHOCOLATE CAKE MINI ,MANUFACTURED ITEMS,5,15,15.5,TRUE
1242,CARROT CAKE ,MANUFACTURED ITEMS,5,15,15.5,TRUE
1221,GLUTEN FREE MINI CAKE ,MANUFACTURED ITEMS,5,15,15.5,TRUE
1225,MERVEILLEUX,MANUFACTURED ITEMS,5,15,15.5,TRUE
1334,TUILES AUX AMANDES ,MANUFACTURED ITEMS,1,15,0,TRUE
1250,MINI MERINGUES FOR COFFEE ,MANUFACTURED ITEMS,0.5,15,15.5,TRUE
1248,BREAD AND BUTTER PUDDING ,MANUFACTURED ITEMS,5,15,15.5,TRUE
