id,name,unit_cost,remaining_qty,is_active
1478,KETTLE 1 LT,1.92,15,TRUE
1480,KNIVES,1.92,15,TRUE
1482,LARGE BOXES,1.92,15,TRUE
1484,LARGE PLASTIC CONTAINERS,1.92,15,TRUE
1486,LASAGNA ,1.92,15,TRUE
1488,LATTE GLASSES ,1.92,15,TRUE
1490,LATTE SPOONS ,1.92,15,TRUE
1492,LENTILS,1.92,15,TRUE
1494,LETTUCE,1.92,15,TRUE
1496,LIFT AWAY ,1.92,15,TRUE
1498,LUNCH BOXES BIG,1.92,15,TRUE
1500,LUNCH BOXES SMALL,1.92,15,TRUE
1502,MACAROON STANDS,1.92,15,TRUE
1504,MACAROON WOODEN BOXES,1.92,15,TRUE
1506,MACON ,1.92,15,TRUE
1508,MACON ,1.92,15,TRUE
1510,MADELEIN PACKAGING,1.92,15,TRUE
1512,MAYONAISE,1.92,15,TRUE
1514,,1.92,15,TRUE
1516,MED BOXES,1.92,15,TRUE
1518,METHYLATED SPIRITS ,1.92,15,TRUE
1520,MICROWAVE ,1.92,15,TRUE
1522,MILK ,1.92,15,TRUE
1524,MILK JUGS LARGE ,1.92,15,TRUE
1526,MILK JUGS SMALL,1.92,15,TRUE
1528,MILKSHAKE GLASSES ,1.92,15,TRUE
1530,MILLIE FUILLE PLASTICS,1.92,15,TRUE
1532,MINCE,1.92,15,TRUE
1534,MOZARELLA,1.92,15,TRUE
1536,MOZARELLA,1.92,15,TRUE
1538,MRS BOLS CHUTNEY ,1.92,15,TRUE
1540,MUG WHITE ,1.92,15,TRUE
1542,MUGS 500ML,1.92,15,TRUE
1544,MUSHROOMS,1.92,15,TRUE
1546,MUTTON CLOTH ,1.92,15,TRUE
1548,NO HANDLE PANS ,1.92,15,TRUE
1550,NOZZLE SET ,1.92,15,TRUE
1552,NUTELLA ,1.92,15,TRUE
1554,OATS ,1.92,15,TRUE
1556,OLIVE OIL ,1.92,15,TRUE
1558,ONIONS RED,1.92,15,TRUE
1560,ONIONS WHITE ,1.92,15,TRUE
1562,OO FLOUR,1.92,15,TRUE
1564,OVEN ,1.92,15,TRUE
1566,OVEN CLEANER ,1.92,15,TRUE
1568,OVEN TRAYS,1.92,15,TRUE
1570,OXTAIL,1.92,15,TRUE
1572,PALATE KNIFE,1.92,15,TRUE
1574,PANINI  ,1.92,15,TRUE
1576,PANINI PRESS,1.92,15,TRUE
1578,PANS BIG 35 CM ,1.92,15,TRUE
1580,PANS SMALL 10 CM ,1.92,15,TRUE
1582,PANS SMALL 20 CM ,1.92,15,TRUE
1586,PAPRIKA,1.92,15,TRUE
1588,PARSLEY ,1.92,15,TRUE
1590,PEPPER GRINDER,1.92,15,TRUE
1592,PEPPERCORNS,1.92,15,TRUE
1594,PINE GEL,1.92,15,TRUE
1596,PIZZA PLATES,1.92,15,TRUE
1598,PIZZZ SHOVEL ,1.92,15,TRUE
1600,PLASTIC FORKS,1.92,15,TRUE
1602,PLASTIC KNIVES,1.92,15,TRUE
1604,PLASTIC SPOONS ,1.92,15,TRUE
1606,PLATES,1.92,15,TRUE
1608,PLATTERS WHITE,1.92,15,TRUE
1610,PLUG INDUSTRIAL,1.92,15,TRUE
1612,PORTA FILTER,1.92,15,TRUE
1614,POTATOES,1.92,15,TRUE
1616,PRAWNS ,1.92,15,TRUE
1618,RED CHILLIES,1.92,15,TRUE
1620,RED COLOURING,1.92,15,TRUE
1622,RED PEPEPRS,1.92,15,TRUE
1624,REFRESHER TOWELS,1.92,15,TRUE
1626,RICE  ,1.92,15,TRUE
1628,RICE NOODLES,1.92,15,TRUE
1630,RICE STAFF ,1.92,15,TRUE
1632,ROSEMARY ,1.92,15,TRUE
1634,ROUND SMALL CAKE BOARDS,1.92,15,TRUE
1636,RUMP,1.92,15,TRUE
1638,RUMP ,1.92,15,TRUE
1640,SALAD BOWLS ,1.92,15,TRUE
1642,SALMON FILLET ,1.92,15,TRUE
1644,SALT ,1.92,15,TRUE
1646,SALT GRINDER ,1.92,15,TRUE
1648,SALT SACHETS ,1.92,15,TRUE
1650,SAUCE BOWL WHITE ,1.92,15,TRUE
1652,SAUCE BOWLS ,1.92,15,TRUE
1654,SAUSAGE MINCE ,1.92,15,TRUE
1656,SAUSAGES ,1.92,15,TRUE
1658,SCALE,1.92,15,TRUE
1660,SCHWEPPES SODA,1.92,15,TRUE
1662,SCONE CUTTER - 4 CM ,1.92,15,TRUE
1664,SCONE CUTTER - 5 CM ,1.92,15,TRUE
1666,SCONE CUTTER- 8CM ,1.92,15,TRUE
1668,SCRAPER,1.92,15,TRUE
1670,SCRAPERS,1.92,15,TRUE
1672,SERVING SPOONS BIG ,1.92,15,TRUE
1674,SESAME SEEDS,1.92,15,TRUE
1676,SIDE PLATES,1.92,15,TRUE
1678,SILICON MAT ,1.92,15,TRUE
1680,SKEWERS,1.92,15,TRUE
1682,SMALL AFOGATO GLASSES,1.92,15,TRUE
1684,SMALL BOXES,1.92,15,TRUE
1686,SMALL FOIL CONTAINERS,1.92,15,TRUE
1688,SMALL KNIVES,1.92,15,TRUE
1690,SMALL POTS,1.92,15,TRUE
1692,SMOKED SALMON ,1.92,15,TRUE
1694,SO6 ,1.92,15,TRUE
1696,SODA,1.92,15,TRUE
1698,SOUP POT ,1.92,15,TRUE
1700,SOUP SPOONS ,1.92,15,TRUE
1702,SOYA SAUCE,1.92,15,TRUE
1704,SPARKLING WATER ,1.92,15,TRUE
1706,SPRITE ,1.92,15,TRUE
1708,SQUEEZY BOTTLES,1.92,15,TRUE
1710,STEAK KNIVES ,1.92,15,TRUE
1712,STEAK MINCE,1.92,15,TRUE
1714,STEEL WIRE ,1.92,15,TRUE
1716,STICK BLENDER ,1.92,15,TRUE
1718,STILL WATER ,1.92,15,TRUE
1720,STONEY ,1.92,15,TRUE
1722,STOVE ,1.92,15,TRUE
1724,STRAWS,1.92,15,TRUE
1726,STRAWS BIG,1.92,15,TRUE
1728,SWEET CHILLI,1.92,15,TRUE
1730,SWEETNER,1.92,15,TRUE
1732,T/A BURGER CLAMS ,1.92,15,TRUE
1734,T/A HALF CONTAINERS,1.92,15,TRUE
1736,T/A RECTANGULAR BOWLS,1.92,15,TRUE
1738,T/A ROUND BOWLS,1.92,15,TRUE
1740,TABLE TALKERS,1.92,15,TRUE
1742,TALL GLASSES,1.92,15,TRUE
1744,TAMPER,1.92,15,TRUE
1746,TBONE 200G,1.92,15,TRUE
1748,TBONE 350G ,1.92,15,TRUE
1750,TEASPOONS,1.92,15,TRUE
1752,TEASPOONS,1.92,15,TRUE
1754,TEMPING MAT,1.92,15,TRUE
1756,TENDERIZER,1.92,15,TRUE
1758,TILL ROLLS SWIPE ,1.92,15,TRUE
1760,TOASTER ,1.92,15,TRUE
1762,TOILET PAPER ,1.92,15,TRUE
1764,TOMATO PUREE,1.92,15,TRUE
1766,TOMATO SACHETS ,1.92,15,TRUE
1768,TOMATO SAUCE,1.92,15,TRUE
1770,TOMATOES,1.92,15,TRUE
1772,TONGS,1.92,15,TRUE
1774,TOOTHPICKS ,1.92,15,TRUE
1776,TOPSIDE,1.92,15,TRUE
1778,TWG BAIN DE ROSES,1.92,15,TRUE
1780,TWG BLACK TEA,1.92,15,TRUE
1782,TWG CRÈME CARAMEL,1.92,15,TRUE
